#Parameters = {Lh=0.033016666666667; Oa=0.049839326046652; Oo=0.0041966915170919; a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Wavelength / nm"	"T_Zmax(2),Zmax(1) [Magnitude / dB]"
#------------------------------------------------------
36119573.253012	-57.810272977875
36163143.305187	-57.820848039170
36206818.599034	-57.831419435073
36250599.516324	-57.841987205475
36294486.440678	-57.852551392003
36338479.757576	-57.863112038007
36382579.854369	-57.873669188551
36426787.120292	-57.884222890398
36471101.946472	-57.894773192003
36515524.725944	-57.905320143498
36560055.853659	-57.915863796682
36604695.726496	-57.926404205007
36649444.743276	-57.936941423567
36694303.304774	-57.947475509082
36739271.813725	-57.958006519891
36784350.674847	-57.968534515931
36829540.294840	-57.979059558726
36874841.082411	-57.989581711378
36920253.448276	-58.000101038544
36965777.805179	-58.010617606428
37011414.567901	-58.021131482762
37057164.153276	-58.031642736792
37103026.980198	-58.042151439266
37149003.469641	-58.052657662412
37195094.044665	-58.063161479925
37241299.130435	-58.073662966953
37287619.154229	-58.084162200075
37334054.545455	-58.094659257288
37380605.735661	-58.105154217989
37427273.158552	-58.115647162956
37474057.250000	-58.126138174333
37520958.448060	-58.136627335607
37567977.192982	-58.147114731596
37615113.927227	-58.157600448424
37662369.095477	-58.168084573506
37709743.144654	-58.178567195529
37757236.523929	-58.189048404428
37804849.684741	-58.199528291371
37852583.080808	-58.210006948737
37900437.168142	-58.220484470093
37948412.405063	-58.230960950179
37996509.252218	-58.241436484883
38044728.172589	-58.251911171217
38093069.631512	-58.262385107302
38141534.096692	-58.272858392342
38190122.038217	-58.283331126603
38238833.928571	-58.293803411389
38287670.242656	-58.304275349021
38336631.457801	-58.314747042812
38385718.053777	-58.325218597048
38434930.512821	-58.335690116959
38484269.319641	-58.346161708698
38533734.961440	-58.356633479316
38583327.927928	-58.367105536739
38633048.711340	-58.377577989742
38682897.806452	-58.388050947923
38732875.710594	-58.398524521679
38782982.923674	-58.408998822183
38833219.948187	-58.419473961352
38883587.289235	-58.429950051827
38934085.454545	-58.440427206943
38984714.954486	-58.450905540703
39035476.302083	-58.461385167754
39086370.013038	-58.471866203354
39137396.605744	-58.482348763351
39188556.601307	-58.492832964151
39239850.523560	-58.503318922691
39291278.899083	-58.513806756413
39342842.257218	-58.524296583232
39394541.130092	-58.534788521509
39446376.052632	-58.545282690024
39498347.562582	-58.555779207944
39550456.200528	-58.566278194792
39602702.509908	-58.576779770425
39655087.037037	-58.587284054993
39707610.331126	-58.597791168919
39760272.944297	-58.608301232863
39813075.431607	-58.618814367692
39866018.351064	-58.629330694449
39919102.263648	-58.639850334324
39972327.733333	-58.650373408622
40025695.327103	-58.660900038728
40079205.614973	-58.671430346080
40132859.170013	-58.681964452135
40186656.568365	-58.692502478334
40240598.389262	-58.703044546076
40294685.215054	-58.713590776678
40348917.631225	-58.724141291348
40403296.226415	-58.734696211149
40457821.592443	-58.745255656967
40512494.324324	-58.755819749474
40567315.020298	-58.766388609101
40622284.281843	-58.776962355997
40677402.713704	-58.787541110002
40732670.923913	-58.798124990605
40788089.523810	-58.808714116916
40843659.128065	-58.819308607629
40899380.354707	-58.829908580986
40955253.825137	-58.840514154743
41011280.164159	-58.851125446138
41067460.000000	-58.861742571848
41123793.964335	-58.872365647963
41180282.692308	-58.882994789942
41236926.822558	-58.893630112583
41293726.997245	-58.904271729984
41350683.862069	-58.914919755508
41407798.066298	-58.925574301746
41465070.262794	-58.936235480481
41522501.108033	-58.946903402653
41580091.262136	-58.957578178317
41637841.388889	-58.968259916614
41695752.155772	-58.978948725728
41753824.233983	-58.989644712849
41812058.298466	-59.000347984141
41870455.027933	-59.011058644699
41929015.104895	-59.021776798511
41987739.215686	-59.032502548428
42046628.050491	-59.043235996117
42105682.303371	-59.053977242027
42164902.672293	-59.064726385353
42224289.859155	-59.075483523995
42283844.569817	-59.086248754520
42343567.514124	-59.097022172123
42403459.405941	-59.107803870591
42463520.963173	-59.118593942262
42523752.907801	-59.129392477988
42584155.965909	-59.140199567092
42644730.867710	-59.151015297337
42705478.347578	-59.161839754876
42766399.144080	-59.172673024223
42827494.000000	-59.183515188206
42888763.662375	-59.194366327933
42950208.882521	-59.205226522749
43011830.416069	-59.216095850195
43073629.022989	-59.226974385973
43135605.467626	-59.237862203902
43197760.518732	-59.248759375878
43260094.949495	-59.259665971835
43322609.537572	-59.270582059704
43385305.065123	-59.281507705373
43448182.318841	-59.292442972644
43511242.089985	-59.303387923195
43574485.174419	-59.314342616535
43637912.372635	-59.325307109968
43701524.489796	-59.336281458546
43765322.335766	-59.347265715031
43829306.725146	-59.358259929851
43893478.477306	-59.369264151059
43957838.416422	-59.380278424291
44022387.371512	-59.391302792721
44087126.176471	-59.402337297022
44152055.670103	-59.413381975318
44217176.696165	-59.424436863146
44282490.103397	-59.435501993409
44347996.745562	-59.446577396331
44413697.481481	-59.457663099415
44479593.175074	-59.468759127398
44545684.695394	-59.479865502206
44611972.916667	-59.490982242907
44678458.718331	-59.502109365666
44745142.985075	-59.513246883702
44812026.606876	-59.524394807233
44879110.479042	-59.535553143438
44946395.502249	-59.546721896404
45013882.582583	-59.557901067078
45081572.631579	-59.569090653221
45149466.566265	-59.580290649354
45217565.309201	-59.591501046712
45285869.788520	-59.602721833189
