#Parameters = {a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Wavelength / nm"	"T_Zmax(2),Zmax(1) [Magnitude]"
#-------------------------------------------------
43893478.477306	6.3335494217177e-08
43957838.416422	6.3108739830748e-08
44022387.371512	6.2883464317208e-08
44087126.176471	6.2659660016300e-08
44152055.670103	6.2437319294918e-08
44217176.696165	6.2216434547718e-08
44282490.103397	6.1996998197728e-08
44347996.745562	6.1779002696930e-08
44413697.481481	6.1562440526856e-08
44479593.175074	6.1347304199152e-08
44545684.695394	6.1133586256150e-08
44611972.916667	6.0921279271418e-08
44678458.718331	6.0710375850310e-08
44745142.985075	6.0500868630501e-08
44812026.606876	6.0292750282511e-08
44879110.479042	6.0086013510227e-08
44946395.502249	5.9880651051408e-08
45013882.582583	5.9676655678185e-08
45081572.631579	5.9474020197548e-08
45149466.566265	5.9272737451828e-08
45217565.309201	5.9072800319167e-08
45285869.788520	5.8874201713979e-08
45354380.937973	5.8676934587401e-08
45423099.696970	5.8480991927738e-08
45492027.010622	5.8286366760894e-08
45561163.829787	5.8093052150798e-08
45630511.111111	5.7901041199819e-08
45700069.817073	5.7710327049171e-08
45769840.916031	5.7520902879314e-08
45839825.382263	5.7332761910338e-08
45910024.196018	5.7145897402345e-08
45980438.343558	5.6960302655820e-08
46051068.817204	5.6775971011990e-08
46121916.615385	5.6592895853181e-08
46192982.742681	5.6411070603162e-08
46264268.209877	5.6230488727477e-08
46335774.034003	5.6051143733779e-08
46407501.238390	5.5873029172143e-08
46479450.852713	5.5696138635382e-08
46551623.913043	5.5520465759344e-08
46624021.461897	5.5346004223211e-08
46696644.548287	5.5172747749783e-08
46769494.227769	5.5000690105756e-08
46842571.562500	5.4829825101994e-08
46915877.621283	5.4660146593785e-08
46989413.479624	5.4491648481104e-08
47063180.219780	5.4324324708854e-08
47137178.930818	5.4158169267102e-08
47211410.708661	5.3993176191320e-08
47285876.656151	5.3829339562599e-08
47360577.883096	5.3666653507868e-08
47435515.506329	5.3505112200106e-08
47510690.649762	5.3344709858541e-08
47586104.444444	5.3185440748843e-08
47661758.028617	5.3027299183315e-08
47737652.547771	5.2870279521068e-08
47813789.154705	5.2714376168200e-08
47890169.009585	5.2559583577960e-08
47966793.280000	5.2405896250905e-08
48043663.141026	5.2253308735059e-08
48120779.775281	5.2101815626052e-08
48198144.372990	5.1951411567266e-08
48275758.132045	5.1802091249967e-08
48353622.258065	5.1653849413428e-08
48431737.964459	5.1506680845056e-08
48510106.472492	5.1360580380503e-08
48588729.011345	5.1215542903776e-08
48667606.818182	5.1071563347336e-08
48746741.138211	5.0928636692200e-08
48826133.224756	5.0786757968029e-08
48905784.339315	5.0645922253214e-08
48985695.751634	5.0506124674953e-08
49065868.739771	5.0367360409327e-08
49146304.590164	5.0229624681369e-08
49227004.597701	5.0092912765124e-08
49307970.065789	4.9957219983709e-08
49389202.306425	4.9822541709364e-08
49470702.640264	4.9688873363500e-08
49552472.396694	4.9556210416738e-08
49634512.913907	4.9424548388951e-08
49716825.538972	4.9293882849291e-08
49799411.627907	4.9164209416218e-08
49882272.545757	4.9035523757522e-08
49965409.666667	4.8907821590340e-08
50048824.373957	4.8781098681171e-08
50132518.060201	4.8655350845879e-08
50216492.127303	4.8530573949702e-08
50300747.986577	4.8406763907247e-08
50385287.058824	4.8283916682488e-08
50470110.774411	4.8162028288752e-08
50555220.573356	4.8041094788709e-08
50640617.905405	4.7921112294351e-08
50726304.230118	4.7802076966972e-08
50812281.016949	4.7683985017138e-08
50898549.745331	4.7566832704658e-08
50985111.904762	4.7450616338551e-08
51071968.994889	4.7335332277003e-08
51159122.525597	4.7220976927328e-08
51246574.017094	4.7107546745919e-08
51334325.000000	4.6995038238200e-08
51422377.015437	4.6883447958568e-08
51510731.615120	4.6772772510338e-08
51599390.361446	4.6663008545681e-08
51688354.827586	4.6554152765556e-08
51777626.597582	4.6446201919643e-08
51867207.266436	4.6339152806268e-08
51957098.440208	4.6233002272329e-08
52047301.736111	4.6127747213214e-08
52137818.782609	4.6023384572719e-08
52228651.219512	4.5919911342955e-08
52319800.698080	4.5817324564266e-08
52411268.881119	4.5715621325126e-08
52503057.443082	4.5614798762047e-08
52595168.070175	4.5514854059472e-08
52687602.460457	4.5415784449676e-08
52780362.323944	4.5317587212650e-08
52873449.382716	4.5220259675994e-08
52966865.371025	4.5123799214799e-08
53060612.035398	4.5028203251528e-08
53154691.134752	4.4933469255891e-08
53249104.440497	4.4839594744721e-08
53343853.736655	4.4746577281839e-08
53438940.819964	4.4654414477926e-08
53534367.500000	4.4563103990379e-08
53630135.599284	4.4472643523173e-08
53726246.953405	4.4383030826711e-08
53822703.411131	4.4294263697681e-08
53919506.834532	4.4206339978897e-08
54016659.099099	4.4119257559142e-08
54114162.093863	4.4033014373010e-08
54212017.721519	4.3947608400737e-08
54310227.898551	4.3863037668030e-08
54408794.555354	4.3779300245898e-08
54507719.636364	4.3696394250469e-08
54607005.100182	4.3614317842807e-08
54706652.919708	4.3533069228725e-08
54806665.082267	4.3452646658597e-08
54907043.589744	4.3373048427152e-08
55007790.458716	4.3294272873281e-08
55108907.720588	4.3216318379824e-08
55210397.421731	4.3139183373361e-08
55312261.623616	4.3062866323993e-08
55414502.402957	4.2987365745120e-08
55517121.851852	4.2912680193213e-08
55620122.077922	4.2838808267578e-08
55723505.204461	4.2765748610118e-08
55827273.370577	4.2693499905087e-08
55931428.731343	4.2622060878835e-08
